Year;Author;Title;ID;ID_2;Exp_ID;Effect_ID;ES_ID;Type_of_study;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Temperature;Test_Data;Recruitment_Country;Career_stage;Prior_LLM_training_of_physicians;Control_group_resources;Treatment_group_resources;Pre-training_of_LLM;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Input_Form_Patient_Information_clinician;Follow_Up_Prompts_Allowed;Time_restrictions;Explanation_Format_of_LLM;Time_lag_sessions;Type_of_Results;N_total;N_physicians_total;N_cases_total;N_assessments_total;Same_Cases_Both_Conditions;h_design;h_unit_level;h_var_level;h_n_pairs;h_r_used;h_r_source;h_b;h_c;h_measure_class;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;Performance_Difference_SD;Performance_Difference_SE;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Correlation_r_between_conditions;Discordant_b;Discordant_c;Reader_cluster_adjusted_SD_SE_CI;h_icc
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;94;1;941;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Resident;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.65;100;1;100;NR;NR;0.5565;0.7435;0.81;100;1;100;NR;NR;0.7331;0.8869;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 4 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;94;2;942;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Resident;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.65;100;1;100;NR;NR;0.5565;0.7435;0.81;100;1;100;NR;NR;0.73;0.88;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 4 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;95;1;951;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.86;100;1;100;NR;NR;0.792;0.928;0.91;100;1;100;NR;NR;0.8539;0.9661;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 5 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;95;2;952;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.86;100;1;100;NR;NR;0.792;0.928;0.91;100;1;100;NR;NR;0.8548;0.96;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"0.03 (Table 6; Doctor 5 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;96;1;961;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.89;100;1;100;NR;NR;0.8287;0.9513;0.93;100;1;100;NR;NR;0.88;0.98;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 6 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;96;2;962;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.89;100;1;100;NR;NR;0.8287;0.9513;0.93;100;1;100;NR;NR;0.87;0.98;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"0.028 (Table 6; Doctor 6 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;97;1;971;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.8;100;1;100;NR;NR;0.7216;0.8784;0.84;100;1;100;NR;NR;0.7681;0.9119;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 7 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;97;2;972;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.8;100;1;100;NR;NR;0.7216;0.8784;0.85;100;1;100;NR;NR;0.78;0.92;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 7 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;101;1;1011;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Resident;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.718;103;1;103;NR;NR;0.715;0.722;0.835;103;1;103;NR;NR;0.832;0.838;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;102;1;1021;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Resident;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.689;103;1;103;NR;NR;0.685;0.693;0.786;103;1;103;NR;NR;0.783;0.79;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;103;1;1031;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Resident;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.709;103;1;103;NR;NR;0.705;0.713;0.786;103;1;103;NR;NR;0.783;0.79;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;104;1;1041;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Attending;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.806;103;1;103;NR;NR;0.803;0.809;0.835;103;1;103;NR;NR;0.832;0.838;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;105;1;1051;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Attending;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.796;103;1;103;NR;NR;0.793;0.799;0.825;103;1;103;NR;NR;0.822;0.828;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Jin et al.;ChatGPT-4V prompt: A tool to enhance junior radiologists' diagnostic capabilities in cystic renal masses to senior-level accuracy;Jin et al. (2026);10;106;1;1061;peer-reviewed;Radiology;GPT-4V;"web interface (ChatGPT-4V); no radiology-specific tuning and no parameter adjustment; a new chat session was started for each image";NR;image interpretation performed between 2 September 2023 and 23 April 2024;NR;external;China;Attending;0;0;0;0;Real-world;Classification;0;Image;image;0;NR;CoT;"none (immediate re-assessment within the same session, directly after the ROT output was shown; no washout)";Top-1;103;1;103;206;1;within_subject;case;case;103;NR;none;;;proportion;0.835;103;1;103;NR;NR;0.832;0.838;0.825;103;1;103;NR;NR;0.822;0.828;"NR (not reported as a difference; the two arm values are reported separately in Table 4)";NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR;NR;NR;;;;NR;
2025;Kim et al.;Boosting LLM-assisted diagnosis: 10-minute LLM tutorial elevates radiology residents' performance in brain MRI interpretation;Kim et al. (2025) - Neuroradiology tutorial;11;111;1;1111;peer-reviewed;Radiology;GPT-4-Turbo;"Perplexity AI search engine (real-time web content + source citations); queries powered by GPT-4-Turbo (OpenAI)";"GPT-4-Turbo (OpenAI) accessed via Perplexity AI; exact snapshot not reported";NR;NR;"unknown (real PACS exams 2016-2023, published previously [ref 20]; the LLM received reader-authored textual descriptions of the finding rather than the archived case, so direct memorization is less likely, but Perplexity retrieves live web content - see Note)";Germany;Resident;0;1;1;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);1;"NR (no time limit stated; reading times were recorded)";Differential;"three separate sessions per reader (one workflow each), between 01/03/2024 and 22/05/2024; different case set per session; the exact interval/washout between a reader's sessions is not reported";Top-3;174;9;30;174;0;within_subject;physician-case;physician-case;;NR;none;;;proportion;32.2;30;9;87;"NR (not reported; case-level binomial SE sqrt(p(1-p)/n) ~= 5.0% derivable but ignores reader/case clustering in this crossover - see calc sheet & Note)";46.7;NR (proportions reported without CIs);NR;44.8;30;9;87;NR;49.7;NR;NR;12.6;NR;NR;NR;NR;"0.119 (pairwise chi-square, Benjamini-Hochberg adjusted; chi2 = 2.43; Table 2; NS)";NR;NR;NR;NR;;;NR;
2025;Kim et al.;Boosting LLM-assisted diagnosis: 10-minute LLM tutorial elevates radiology residents' performance in brain MRI interpretation;Kim et al. (2025) - Neuroradiology tutorial;11;111;2;1112;peer-reviewed;Radiology;GPT-4-Turbo;"Perplexity AI search engine (real-time web content + source citations); queries powered by GPT-4-Turbo (OpenAI)";"GPT-4-Turbo (OpenAI) accessed via Perplexity AI; exact snapshot not reported";NR;NR;"unknown (real PACS exams 2016-2023, published previously [ref 20]; the LLM received reader-authored textual descriptions of the finding rather than the archived case, so direct memorization is less likely, but Perplexity retrieves live web content - see Note)";Germany;Resident;1;1;1;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);1;"NR (no time limit stated; reading times were recorded)";Differential;"three separate sessions per reader (one workflow each), between 01/03/2024 and 22/05/2024; different case set per session; the exact interval/washout between a reader's sessions is not reported";Top-3;175;9;30;175;0;within_subject;physician-case;physician-case;;NR;none;;;proportion;32.2;30;9;87;"NR (case-level binomial SE ~= 5.0%; clustered - see ES1 & calc sheet)";46.7;NR;NR;62.5;30;9;88;NR;48.4;NR;NR;30.3;NR;NR;NR;NR;"<0.001 (pairwise chi-square, Benjamini-Hochberg adjusted; chi2 = 14.93; Table 2)";NR;NR;NR;NR;;;NR;
2025;Kim et al. ;Human-AI Collaboration in Large Language Model-Assisted Brain MRI Differential Diagnosis: A Usability Study;Kim et al. ;12;121;1;1211;peer-reviewed;Radiology;GPT-4;Perplexity AI;NR;NR;NR;unknown;Germany;Resident;1;1;1;0;Real-world;Open-ended;1;Text;multimodal (text + image);1;0;Differential;0;Top-3;114;6;40;224;0;within_subject;physician-case;physician-case;;NR;;;;proportion;0.464912281;40;6;114;NR;0.498767332;NR;NR;0.614035088;40;6;114;NR;0.486822348;NR;NR;0.149122807;;NR;0;0;0.033;NR;0;0;;;;NR;
2025;Kim et al. ;Human-AI Collaboration in Large Language Model-Assisted Brain MRI Differential Diagnosis: A Usability Study;Kim et al. ;12;121;2;1212;peer-reviewed;Radiology;GPT-4;Perplexity AI;NR;NR;NR;unknown;Germany;Resident;1;1;1;0;Real-world;Open-ended;1;Text;multimodal (text + image);1;0;Differential;0;Top-1;114;6;40;228;0;within_subject;physician-case;physician-case;;NR;;;;proportion;0.350877193;40;6;114;NR;0.477244579;NR;NR;0.48245614;40;6;114;NR;0.499692118;NR;NR;0.131578947;;NR;0;0;0.033;NR;0;0;;;;NR;
2026;Kowshik et al.;Domain-adapted language model using reinforcement learning for various dementias;Kowshik et al. (2026);13;131;1;1311;pre-print;Other;LUNAR;"open-weight model developed and self-hosted by the authors (base: Qwen2.5-3B-Instruct; served via vLLM; no commercial API)";"LUNAR, built on Qwen2.5-3B-Instruct (Q3B); baselines Qwen2.5-7B-Instruct (Q7B); summaries generated with Qwen3-32B";NR;NR;external;"NR (12 board-certified neurologists; recruitment country not stated; author affiliations span USA, France and China)";Attending;0;NR;NR;1;Real-world;Multiple choice;1;Text;text;0;NR;CoT;NR;Top-1;578;12;100;1156;1;within_subject;physician-case;physician-case;578;NR;from_bc;37;14;proportion;44.3;100;12;578;NR;NR;NR;NR;48.4;100;12;578;NR;NR;NR;NR;"NR (not reported as a difference; arm accuracies 44.3% and 48.4%)";NR;NR;NR;NR;"P < .01 (case-level permutation test); paired revision analysis: McNemar chi2 = 9.49, P = .002";2.64;NR;NR;;37;14;NR;
2025;Le Guellec et al.;Comparison between multimodal foundation models and radiologists for the diagnosis of challenging neuroradiology cases with text and images;Le Guellec et al.;14;141;1;1411;peer-reviewed;Radiology;Gemini 1.5 Pro;programming interface;NR;2024_09;1;unknown;France;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);0;0;0;Differential, free text;0;Top-3;159;3;53;318;1;within_subject;physician-case;physician-case;159;NR;from_bc;17;3;proportion;0.472;53;3;159;NR;0.499215384;NR;NR;0.56;53;3;159;NR;0.496386946;NR;NR;0.088;;NR;0;0;<0.01;NR;0;0;;17;3;NR;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;15;151;1;1511;peer-reviewed;General medicine;MedFound (Bloom-176B);MedFound-DX-PA;NR;NR;0;tailored data set from Chinese hospitals;China;Resident;0;NR;0;0;Real-world;Open-ended;1;Text;0;0;0;CoT;2 weeks;Top-1;450;3;150;900;1;within_subject;physician-case;physician-case;450;NR;SD calculated;;;proportion;0.6;150;3;450;NR;0.489897949;NR;NR;0.719;150;3;450;NR;0.449487486;NR;NR;0.119;;NR;0;0;NR;NR;0;0;;;;NR;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;15;152;1;1521;peer-reviewed;General medicine;MedFound (Bloom-176B);MedFound-DX-PA;NR;NR;0;tailored data set from Chinese hospitals;China;Attending;0;NR;0;0;Real-world;Open-ended;1;Text;0;0;0;CoT;2 weeks;Top-1;450;3;150;900;1;within_subject;physician-case;physician-case;450;NR;SD calculated;;;proportion;0.677;150;3;450;NR;0.467622711;NR;NR;0.721;150;3;450;NR;0.448507525;NR;NR;0.044;;NR;0;0;NR;NR;0;0;;;;NR;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;15;153;1;1531;peer-reviewed;General medicine;MedFound (Bloom-176B);MedFound-DX-PA;NR;NR;0;tailored data set from Chinese hospitals;China;Resident;0;NR;0;0;Real-world;Open-ended;1;Text;0;0;0;CoT;2 weeks;Top-1;450;3;150;900;1;within_subject;physician-case;physician-case;450;NR;SD calculated;;;proportion;0.694;150;3;450;NR;0.460829687;NR;NR;0.74;150;3;450;NR;0.438634244;NR;NR;0.046;;NR;0;0;NR;NR;0;0;;;;NR;
2024;Liu et al.;A generalist medical language model for disease diagnosis assistance;Liu et al.;15;154;1;1541;peer-reviewed;General medicine;MedFound (Bloom-176B);MedFound-DX-PA;NR;NR;0;tailored data set from Chinese hospitals;China;Attending;0;NR;0;0;Real-world;Open-ended;1;Text;0;0;0;CoT;2 weeks;Top-1;450;3;150;900;1;within_subject;physician-case;physician-case;450;NR;SD calculated;;;proportion;0.725;150;3;450;NR;0.446514277;NR;NR;0.788;150;3;450;NR;0.408724846;NR;NR;0.063;;NR;0;0;NR;NR;0;0;;;;NR;
2026;Long et al.;ChatGPT-4o assists emergency physicians in enhancing diagnostic accuracy for fever of unknown origin: retrospective analysis;Long et al. (2026);16;161;1;1611;peer-reviewed;General medicine;GPT-4o;NR;NR;NR;NR;external;China;Resident;0;0;0;0;Real-world;Open-ended;1;Text;text;0;NR;Differential;none;Top-3;"UNCLEAR (the figure legends state n = 60 per group, but every reported group percentage is only reproducible as x/180, i.e. 3 physicians x 60 cases; see Note)";3;60;360;1;within_subject;physician-case;physician-case;180;NR;none;;;proportion;46.11;60;3;180;NR;NR;34.4;59.3;67.78;60;3;180;NR;NR;55.8;78.6;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; the analysis ignored the pairing)";NR;NR;NR;"0.002 (Welch’s ANOVA with Games-Howell post-hoc; reported Cohen’s d = 1.21 - see Note: between-group test applied to a within-subject contrast)";NR;NR;NR;;;;NR;
2026;Long et al.;ChatGPT-4o assists emergency physicians in enhancing diagnostic accuracy for fever of unknown origin: retrospective analysis;Long et al. (2026);16;161;2;1612;peer-reviewed;General medicine;GPT-4o;NR;NR;NR;NR;external;China;Resident;0;0;0;0;Real-world;Open-ended;1;Text;text;0;NR;Differential;none;Top-3;"UNCLEAR (the figure legends state n = 60 per group, but every reported group percentage is only reproducible as x/180, i.e. 3 physicians x 60 cases; see Note)";3;60;360;1;within_subject;physician-case;physician-case;180;NR;none;;;proportion;55;60;3;180;NR;NR;42.5;66.9;78.33;60;3;180;NR;NR;66.8;86.6;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; the analysis ignored the pairing)";NR;NR;NR;"0.01 (Welch’s ANOVA with Games-Howell post-hoc; reported Cohen’s d = 1.15 - see Note)";NR;NR;NR;;;;NR;
2026;Long et al.;ChatGPT-4o assists emergency physicians in enhancing diagnostic accuracy for fever of unknown origin: retrospective analysis;Long et al. (2026);16;162;1;1621;peer-reviewed;General medicine;GPT-4o;NR;NR;NR;NR;external;China;Attending;0;0;0;0;Real-world;Open-ended;1;Text;text;0;NR;Differential;none;Top-3;"UNCLEAR (the figure legends state n = 60 per group, but every reported group percentage is only reproducible as x/180, i.e. 3 physicians x 60 cases; see Note)";3;60;360;1;within_subject;physician-case;physician-case;180;NR;none;;;proportion;57.78;60;3;180;NR;NR;NR;NR;72.22;60;3;180;NR;NR;NR;NR;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; the analysis ignored the pairing)";NR;NR;NR;"0.023 (Welch’s ANOVA with Games-Howell post-hoc; reported Cohen’s d = 1.25 - see Note)";NR;NR;NR;;;;NR;
2026;Long et al.;ChatGPT-4o assists emergency physicians in enhancing diagnostic accuracy for fever of unknown origin: retrospective analysis;Long et al. (2026);16;162;2;1622;peer-reviewed;General medicine;GPT-4o;NR;NR;NR;NR;external;China;Attending;0;0;0;0;Real-world;Open-ended;1;Text;text;0;NR;Differential;none;Top-3;"UNCLEAR (the figure legends state n = 60 per group, but every reported group percentage is only reproducible as x/180, i.e. 3 physicians x 60 cases; see Note)";3;60;360;1;within_subject;physician-case;physician-case;180;NR;none;;;proportion;66.67;60;3;180;NR;NR;NR;NR;80.56;60;3;180;NR;NR;NR;NR;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; the analysis ignored the pairing)";NR;NR;NR;"0.08 in the Results text / 0.076 in the Abstract (Welch’s ANOVA with Games-Howell post-hoc; not statistically significant; Cohen’s d NR - ""effect sizes for nonsignificant comparisons were not emphasized"")";NR;NR;NR;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;171;1;1711;peer-reviewed;General medicine;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-10;159;;;;1;parallel;case;case;;NR;;;;proportion;0.478;159;10;159;0;NR;NR;NR;0.528;159;10;159;0;0.499215384;NR;NR;0.05;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;171;2;1712;peer-reviewed;General medicine;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-1;159;;;;1;parallel;case;case;;NR;;;;proportion;0.245;159;10;159;0;NR;NR;NR;0.245;159;10;159;0;0.4300872;NR;NR;0;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;172;1;1721;peer-reviewed;Other;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-10;42;;;;1;parallel;case;case;;NR;;;;proportion;0.366;42;10;42;0;NR;NR;NR;0.512;42;10;42;0;0.499855979;NR;NR;0.146;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;172;2;1722;peer-reviewed;Other;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-1;42;;;;1;parallel;case;case;;NR;;;;proportion;0.22;42;10;42;0;NR;NR;NR;0.244;42;10;42;0;0.429492724;NR;NR;0.024;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;173;1;1731;peer-reviewed;Other;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-10;33;;;;1;parallel;case;case;;NR;;;;proportion;0.333;33;10;33;0;NR;NR;NR;0.303;33;10;33;0;0.45955522;NR;NR;-0.03;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;173;2;1732;peer-reviewed;Other;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-1;33;;;;1;parallel;case;case;;NR;;;;proportion;0.121;33;10;33;0;NR;NR;NR;0.152;33;10;33;0;0.359020891;NR;NR;0.031;;NR;0;0;0;NR;0;0;;;;NR;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;17;174;1;1741;peer-reviewed;Other;AMIE;AMIE;NR;NR;0.5;external;United States;Attending;0;0;1;1;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image + table);1;NR;Differential, free text;0;Top-10;10;;;;1;parallel;case;case;;NR;;;;proportion;0.6;10;10;10;0;NR;NR;NR;0.6;10;10;10;0;0.489897949;NR;NR;0;;NR;0;0;0;NR;0;0;;;;NR;
